,index,Entry,Date,Infected,Deaths,Recoveries
0,0,0,2020-02-25,16,0,14.0
1,1,1,2020-02-26,21,0,15.0
2,2,2,2020-02-27,26,0,16.0
3,3,3,2020-02-28,53,0,16.0
4,4,4,2020-02-29,66,0,16.0
5,5,5,2020-03-01,117,0,16.0
6,6,6,2020-03-02,150,0,16.0
7,7,7,2020-03-03,188,0,16.0
8,8,8,2020-03-04,240,0,16.0
9,9,9,2020-03-05,349,0,16.0
10,10,10,2020-03-06,534,0,17.0
11,11,11,2020-03-07,684,0,18.0
12,12,12,2020-03-08,847,0,18.0
13,13,13,2020-03-09,1112,2,18.0
14,14,14,2020-03-10,1296,2,18.0
15,15,15,2020-03-11,1567,3,25.0
16,16,16,2020-03-12,2369,5,25.0
17,17,17,2020-03-13,3062,5,46.0
18,18,18,2020-03-14,3795,8,46.0
19,19,19,2020-03-15,4838,12,46.0
20,20,20,2020-03-16,6012,12,67.0
21,21,21,2020-03-17,7156,12,67.0
22,22,22,2020-03-18,8198,12,105.0
23,23,23,2020-03-19,10999,20,113.0
24,24,24,2020-03-20,13957,31,180.0
25,25,25,2020-03-21,16662,47,233.0
26,26,26,2020-03-22,18610,55,266.0
27,27,27,2020-03-23,22672,86,266.0
28,28,28,2020-03-24,27436,114,3243.0
29,29,29,2020-03-25,31554,149,3547.0
30,30,30,2020-03-26,36508,198,5673.0
31,31,31,2020-03-27,42288,253,6658.0
32,32,32,2020-03-28,48582,325,8481.0
33,33,33,2020-03-29,52547,389,9211.0
34,34,34,2020-03-30,57298,455,13500.0
35,35,35,2020-03-31,61913,583,16100.0
36,36,36,2020-04-01,67366,732,18700.0
37,37,37,2020-04-02,73522,872,22440.0
38,38,38,2020-04-03,79696,1017,24575.0
39,39,39,2020-04-04,85778,1158,26400.0
40,40,40,2020-04-05,91714,1342,28700.0
41,41,41,2020-04-06,95391,1434,28700.0
42,42,42,2020-04-07,99225,1607,36081.0
43,43,43,2020-04-08,103228,1861,46300.0
44,44,44,2020-04-09,108202,2107,52407.0
45,45,45,2020-04-10,113525,2373,53913.0
46,46,46,2020-04-11,117658,2544,57400.0
47,47,47,2020-04-12,120479,2673,60300.0
48,48,48,2020-04-13,123016,2799,64300.0
49,49,49,2020-04-14,125098,2969,68200.0
50,50,50,2020-04-15,127584,3254,72600.0
51,51,51,2020-04-16,130450,3569,77000.0
52,52,52,2020-04-17,133830,3868,83114.0
53,53,53,2020-04-18,137439,4110,85400.0
54,54,54,2020-04-19,139897,4294,88000.0
55,55,55,2020-04-20,141672,4404,91500.0
56,56,56,2020-04-21,143457,4598,95200.0
57,57,57,2020-04-22,145694,4879,99400.0
58,58,58,2020-04-23,148046,5094,103300.0
59,59,59,2020-04-24,150383,5321,109800.0
60,60,60,2020-04-25,152438,5500,109800.0
61,61,61,2020-04-26,154175,5640,112000.0
62,62,62,2020-04-27,155193,5750,114500.0
63,63,63,2020-04-28,156337,5913,117400.0
64,64,64,2020-04-29,157641,6115,120400.0
65,65,65,2020-04-30,159119,6288,123500.0
66,66,66,2020-05-01,160758,6481,126900.0
67,67,67,2020-05-02,161703,6575,129000.0
68,68,68,2020-05-03,162496,6649,130600.0
69,69,69,2020-05-04,163175,6692,132700.0
70,70,70,2020-05-05,163860,6831,135100.0
71,71,71,2020-05-06,164807,6996,139900.0
